prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Kerry Asks FEC for Recount Advice (AP) AP - Election Day is several weeks away, but Democratic presidential candidate John Kerry's campaign is already considering its fund-raising options should Kerry or President Bush pursue a recount like the famous Florida ballot dispute in 2000.The main topic of the news article is: Election Recount PreparationsCategory: Business (as it relates to campaign fundraising)",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","U.S. Upholds Tariffs on Shrimp Imports (AP) AP - The Bush administration on Tuesday upheld the imposition of penalty tariffs on shrimp imports from China and Vietnam, handing a victory to beleaguered U.S. shrimp producers.The main topic of the news article is: Tariffs on Shrimp ImportsCategory: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Rebels Set Off Land mine in Indian Kashmir, 11 Dead  SRINAGAR, India (Reuters) - Separatist militants detonated  a powerful land mine in Indian Kashmir killing eleven people,  including nine soldiers in one of the biggest attacks in recent  weeks, police said on Sunday.The main topic of the news article is a deadly land mine attack in Indian Kashmir.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Promoting free trade promotes security for Canada and U.S., ambassador says. (Canadian Press) Canadian Press - VANCOUVER (CP) - The promotion of free trade around the world will help fight terrorism and is in the security interests of the U.S. and Canada, the U.S. ambassador to Canada said Friday.The main topic of the news article is: The promotion of free trade as a means to enhance security for Canada and the U.S.Category: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Peres calls for early general election The leader of the opposition Labour party in Israel, Shimon Peres, has called for an early general election. The main topic of the news article is: Israeli politics and election Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Martha Stewart Appeals Conviction Lawyers for Martha Stewart told a federal appeals court that she suffered a """"fundamentally unfair"""" trial at the hands of prosecutors who incorrectly suggested she was accused of insider trading.The main topic of the news article is: Martha Stewart's appeal of her conviction.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Bulldogs Get Punished The NCAA places Mississippi State on probation for four years because of recruiting violations and bans them from postseason play this year.The main topic of the news article is: NCAA punishment of Mississippi State football teamI choose: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","With One Life to Live, the Red Sox Want It Now The Red Sox will either complete an amazing comeback tonight as the first team to rebound from a 3-0 deficit in postseason history, or the Yankees will stop them.The main topic of the news article is: The Red Sox attempting to complete a comeback against the Yankees in the postseason.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Anglers Have Big Impact on Fish Numbers -- Study (Reuters) Reuters - Recreational anglers may be\responsible for landing nearly 25 percent of over-fished salt\water species caught off U.S. coasts, a study released on\Thursday suggests.The main topic of the news article is: Impact of Recreational Anglers on Fish NumbersCategory: World",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Jury lines up for Kobe Bryant rape trial More than a year after allegations of rape levelled at basketball star Kobe Bryant shocked the world of sport and set in motion a circus of claim and counterclaim, the first wave of jury selection began yesterday.The main topic of the news article is: The start of jury selection for Kobe Bryant's rape trial.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","IMF Sees Robust U.S. Growth (Reuters) Reuters - Robust U.S. economic growth will\likely continue into 2005, but authorities should cut the\budget deficit to reduce the risk to growth, International\Monetary Fund Managing Director Rodrigo Rato said.The main topic of the news article is: Economic growth forecast for the US. Category: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","IBM updates WebSphere Application Server software OCTOBER 06, 2004 (COMPUTERWORLD) - IBM today unveiled a new version of its WebSphere Application Server software, which is designed to protect applications from server downtime and boost enterprise efforts to build a service-oriented architecture (SOA).The main topic of the news article is: IBM's update to its WebSphere Application Server software.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Baghdad violence kills at least 25 people and stoking fears that sectarian divisions over when to hold elections could unleash further bloodshed. In a second dawn attack in the capital on Friday, guerrillas killed at The main topic of the news article is: Violence and sectarian divisions in Baghdad.I choose: **World**.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","University entry overhaul backed Students should be able to make their university applications after their A-level results, says an official report.The main topic of the news article is: University admissions processI would categorize this article under: World (specifically education news) (Note: While it could be argued that this is more of a local/national news story, depending on the country, I've chosen ""World"" as it's not specifically related to Sports, Tech, or Business)",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Saudi Violence Pushes Oil Prices Higher Oil prices were forced higher today by an outbreak of violence in Saudi Arabia and concerns that Opec may cut output. The cost of a barrel of light, sweet crude oil climbed The main topic of the news article is: Oil prices increasing due to violence in Saudi Arabia and potential Opec output cuts.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Defiant Sharon sets out Gaza plan Israeli PM Ariel Sharon pushes ahead with an accelerated plan to withdraw from the Gaza Strip despite opposition.The main topic of the news article is: Israeli withdrawal from Gaza StripCategory: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Yahoo Jazzes Up Mobile Search Yahoo Jazzes Up Mobile Search\\Google SMS started serving search results to mobile users in the US just a few days back. Now Yahoo! follows it with even more comprehensive feature set. Google SMS is currently text based for the results; Yahoo! jazzes them up with maps, website icons, as well ...The main topic of the news article is: Yahoo's new mobile search featuresCategory: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Bekele Succeeds Mentor Gebrselassie  ATHENS (Reuters) - Ethiopian Kenenisa Bekele succeeded his  mentor Haile Gebrselassie as the Olympic 10,000 meters champion  Friday after an astonishing final lap in the longest track  event.The main topic of the news article is: Kenenisa Bekele winning the Olympic 10,000 meters championship.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",SI.com ATLANTA (Ticker) -- The Atlanta Braves will have to wait at least one more day to celebrate. Gabe White worked out of a bases-loaded jam in the bottom of the ninth inning to record his first save in more than The main topic of the news article is: A close baseball game where the Atlanta Braves were prevented from winning due to a pitcher's performance.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Haywood Looks to End Wizards center Brendan Haywood worked hard in the offseason to improve enough to play in the fourth quarter of close games this season.The main topic of the news article is: Brendan Haywood's efforts to improve his performance in close games.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Germany unveils debt cut measures The German government has unveiled a series of measures aimed at bringing the country #39;s public deficit back below the eurozone #39;s 3 of GDP limit in 2005.The main topic of the news article is: Germany's plan to reduce its public deficit.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",easyMusic picks Wippit for pre-Xmas launch easyJet founder turns to 'easyJet for iPod generation' serviceThe main topic of the news article is: easyMusic's partnership with Wippit for a music download service.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Two US soldiers killed in Afghan battle KABUL, Afghanistan - Two US soldiers were killed in a firefight with insurgents Monday, while an Afghan vice president escaped a bomb attack on his convoy in the latest assassination attempt on a political leader ahead of key elections.The main topic of the news article is: Attack on US soldiers and Afghan vice president in Afghanistan.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Daiei shares soar as Wal-Mart confirms interest in ailing retailer TOKYO : Shares in ailing Japanese retailer Daiei Inc. jumped 16 percent after US giant Wal-Mart Stores Inc. confirmed it was interested in aiding the firm #39;s revival. The main topic of the news article is: Wal-Mart's interest in aiding the revival of Japanese retailer Daiei Inc.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Cuba, Russia Agree to Condemn Terrorism (AP) AP - The top diplomats for Russia and Cuba condemned all forms of terrorism Tuesday and renewed Russia's call last week to expand the war against the global scourge.The main topic of the news article is: International Diplomacy and Counter-Terrorism EffortsCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","HP unveils low-cost corporate copier With streamlined multifunction device, tech giant aims to gain ground in business copier market.\The main topic of the news article is: HP's new low-cost corporate copierCategory: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Kerry's Disgusting Ad \\A few days ago Kerry sent around this ad:\\""""Yesterday, the Bush-Cheney campaign, losing any last sense of decency, placed\a disgusting ad called """"The Faces of John Kerry's Democratic Party"""" as the\main feature on its website. Bizarrely, and without explanation, the ad places\Adolf Hitler among those faces.""""\\""""The Bush-Cheney campaign must pull this ad off of its website. The use of\Adolf Hitler by any campaign, politician or party is simply wrong.""""\\Which of course is a mistake.  I went and downloaded the video (which is just\stupid btw.  Not a masterpiece by any means.) and there are shots of Hitler in\there, but only from the MoveOn contest from a few months back.\\Here's the problem.  The ...\\The main topic of the news article is a controversy over a political ad by the Bush-Cheney campaign that features Adolf Hitler.I would categorize this article as: **Business** (more specifically, Politics, but since that's not an option, Business is the closest match, as it can encompass political campaigns and advertising).",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","#39;Jackal aide #39; in case 2 acquittal BERLIN, Germany -- A German court has acquitted Johannes Weinrich, said to be the right-hand man of international guerrilla  quot;Carlos the Jackal, quot; of charges that he took part in a deadly series of bombings in France in the early 1980s.The main topic of the news article is: Acquittal of Johannes Weinrich, alleged aide to ""Carlos the Jackal"", in a German court.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",WTO Rules Against EU Protection of Goods (AP) AP - The European Union said Friday its system of protecting names for regionally produced foods such as Champagne and Parma ham was strengthened by an initial ruling from the World Trade Organization.The main topic of the news article is: WTO ruling on EU protection of regionally produced foodsCategory: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Fox, Traded by Lakers to Celtics, Retires (AP) AP - Rick Fox retired Thursday, ending a 13-year pro career during which he was part of three NBA championship teams with the Los Angeles Lakers.The main topic of the news article is: Rick Fox's retirement from professional basketball.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Soccer Racism Taints Spain's Reputation (AP) AP - Spaniards used to say they lived in one of Europe's most racially tolerant countries. Soccer has shattered that myth. In Madrid's Santiago Bernabeu stadium  #151; the Yankee Stadium of soccer  #151; Spanish fans bellowed out monkey noises last week each time a black English player touched the ball in a match between England and Spain.The main topic of the news article is: Racism in SoccerCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Renteria introduced Although he hasn #39;t spoken to any of his new Red Sox stats, schedule teammates yet, Edgar Renteria said he #39;d like to get fellow snowbird Manny Ramirez stats, news to teach him to hit #39; #39; when they speak this week in Miami.The main topic of the news article is Edgar Renteria's introduction to the Red Sox and his plan to connect with teammate Manny Ramirez.I would categorize this article as: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Competitors voice pride in being pioneers as women #39;s wrestling &lt;b&gt;...&lt;/b&gt; This was not one for the books. It was one for the looks. How many times had Sara McMann seen the look? She would tell people she was a wrestler, and their eyebrows would The main topic of the news article is women's wrestling. I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","New burger has 1,400 calories, 103 grams of fat ST. LOUIS - The Hardee #39;s fast food chain has rolled out its new 1,400-calorie Monster Thickburger, with 107 grams of fat. The sandwich boasts two-thirds of a pound of beef, four strips of bacon, three slices The main topic of the news article is: Introduction of a new high-calorie burger by Hardee's fast food chain.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Report: Palestinians, Israel Back Peace Plan  CAIRO (Reuters) - Palestinians and Israelis have agreed in  principle to proposals aiming to end their conflict, Egypt's  official news agency MENA said on Tuesday.The main topic of the news article is: Israeli-Palestinian peace negotiationsCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","PeopleSoft: Oracle's Offer Is Inadequate (AP) AP - Oracle Corp.'s  #36;21-per-share hostile takeover bid for PeopleSoft Inc. isn't good enough for shareholders to accept, PeopleSoft director A. George """"Skip"""" Battle said Wednesday.The main topic of the news article is Oracle's hostile takeover bid for PeopleSoft.I would categorize this article under: **Business**",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Should Your Next Car Be New or Used? Used cars have a lot to offer -- if you know what you're doing.The main topic of the news article is: ""Choosing between new and used cars for a next vehicle purchase"".Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","A peak performance MORGANTOWN, W.Va. -- We can only imagine how enjoyable that flight home was for the Boston College party.The main topic of the news article is: a frustrating loss for Boston College, likely in a sports context.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Moderate Earthquake Shakes Western Japan A moderate earthquake shook western Japan on Tuesday, two days after over 40 people were injured when two strong quakes hit the region.The main topic of the news article is: Earthquake in Western JapanCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Juve Lead Is Cut AC Milan closed the gap on leaders Juventus to four points after receiving a helping hand from city-rivals Inter. Having already won their game at Chievo earlier in the day thanks to on-loan Chelsea striker The main topic of the news article is: AC Milan closing the gap on Juventus in the league standings.I choose: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Rosy outlook from Greenspan fails to sway many economists WASHINGTON : The upbeat outlook from Federal Reserve Chairman Alan Greenspan has failed to convince many economists, who argue that the United States is likely to see tepid growth at best in the near future.The main topic of the news article is the Federal Reserve Chairman's economic outlook and its reception by economists.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Santos May Report 40 Drop in First-Half Profit as Output Fell Santos Ltd., Australia #39;s biggest natural gas producer, may report first-half profit fell 40 percent after a fire on New Year #39;s Day at its gas processing plant in central Australia cut production.The main topic of the news article is: Santos Ltd.'s expected drop in first-half profit due to a production cut caused by a fire at their gas processing plant.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Dent rains down the aces on a day of wet weather BEIJING: Big-hitting Taylor Dent rained down 16 aces Tuesday on the way to a first-round victory at the \$500,000 China Open before the skies dropped water to wash away play.The main topic of the news article is: Tennis match victory in BeijingCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Alitalia Signs Deal With Attendants (AP) AP - Near-bankrupt Italian flagship carrier Alitalia won approval from flight attendants Saturday for a job-cutting plan  #151; the last in a series of labor deals crucial to saving the airline from collapse.The main topic of the news article is: Alitalia's deal with flight attendants to accept a job-cutting plan.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ukraine parliament passes plan to weaken presidency (AFP) AFP - Ukraine's parliament overwhelmingly passed a bill to weaken presidential powers and change electoral law, breaking an impasse between outgoing President Leonid Kuchma and the opposition.The main topic of the news article is: Ukraine's parliament passing a bill to weaken presidential powers.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Japan Expresses  #39;serious Concern #39; About N Korean Missiles In &lt;b&gt;...&lt;/b&gt; BEIJING (AFP) - Japanese negotiators told North Korea they had  quot;serious concern quot; about its missile program in talks that extended for a second day in Beijing, a Japanese diplomat said.The main topic of the news article is: Japan's concern about North Korea's missile program.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Moody #39;s raises Dell #39;s senior unsecured debt rating NEW YORK, Aug 18 - Moody #39;s Investors Service said on Wednesday it raised the senior unsecured debt rating of Dell Inc. (DELL.O: Quote, Profile, Research) with a stable outlook citing the firm #39;s strong balance sheet and solid operating and financial ...The main topic of the news article is: Moody's upgrade of Dell's debt rating.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Napster founder introduces new file-sharing service Shawn Fanning, founder of Napster, worlds first file trading peer-to-peer network, is back in full force to legalize music swapping with his new venture.The main topic of the news article is: Napster founder introduces new file-sharing service.I would categorize this article as: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Discontent in China boils into public protest When the local government announced it was going to confiscate their homes and businesses to make room for a new development, residents of this village in southeastern China fought back.The main topic of the news article is: Public protest in China against government confiscation of properties.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","EU Clears Disney-Columbia British Venture European Union regulators Thursday cleared a joint venture between The Walt Disney Company, Columbia Pictures Corp. Ltd., and Britain #39;s ON Demand Group to provide a video-on-demand service in Britain and Ireland.The main topic of the news article is: EU approval of a joint venture to provide a video-on-demand serviceCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Trail Blazers Edge Celtics 89-87 Portland Trail Blazers #39; Zach Randolph, right, loses the ball as Boston Celtics #39; Gary Payton looks on during the second quarter Thursday, Dec. 9, 2004, at the Rose Garden in Portland, Ore.The main topic of the news article is: Portland Trail Blazers vs Boston Celtics basketball game.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",QB Tate to Lead Injured Hawkeyes Vs. PSU (AP) AP - No. 25 Iowa is having a hard time keeping its tailbacks healthy.The main topic of the news article is: Iowa football team's injury issuesCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Opening an Age of Adventure? It has been more than three decades since that era of Hair-raising silliness has passed. The tie-dyes to die for (if they don #39;t kill you on first glance) have been exiled to episodes of The main topic of the news article appears to be a nostalgic look back at a past era of fashion and culture, specifically the 1960s or 1970s.I would categorize this article as: Business (specifically, a lifestyle or fashion topic, but not a direct fit for the other categories). However, if I had to choose from the given options, I'd say it's not a perfect fit for any of them, but World might be the closest, as it could be related to cultural trends or societal issues. So, I'll choose: World",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",NASA Capsule Containing Solar Wind Particles Crashes (Update1) A space capsule containing NASA #39;s first sample from space in more than 30 years crashed into the Utah desert today after its parachutes failed to open.The main topic of the news article is: NASA space capsule crash Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","US firms announce 104,530 job cuts in November, survey shows (AFP) AFP - US employers announced plans in November to step up job cuts, with the total exceeding 100,000 for the third month in a row, an industry survey showed.The main topic of the news article is: ""US employers announce significant job cuts in November""Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Update 6: Dutch Steelmaker Buying ISG in \$4.5B Deal Steel tycoon Lakshmi Mittal announced plans Monday to take over US steelmaker International Steel Group as part of a three-way merger to create a global metals mammoth.The main topic of the news article is: A Dutch steelmaker's acquisition of a US steelmaker in a $4.5B deal.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Former US Marine in Iraq tells Canadian board some comrades became &lt;b&gt;...&lt;/b&gt; A former US Marine in Iraq, testifying Wednesday at a hearing for an American military deserter seeking asylum in Canada, said several men The main topic of the news article is: A former US Marine testifies about comrades' behavior in Iraq in support of an American military deserter seeking asylum in Canada.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","As Ivorian crisis deepens, so do concerns for region NIAMEY, Niger -- French troop reinforcements flew to the coastal city of Abidjan in riot-torn Ivory Coast yesterday amid rising concerns that the conflict between government and rebel forces was on the verge of spiraling out of control and could dramatically hurt its West African neighbors.The main topic of the news article is: The deepening crisis in Ivory Coast and its potential impact on the region.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","US officers to check US-bound cargo shipped from Dubai port DUBAI (AFP) - Dubai port, a leading world operator, signed a deal with the United States under which US officers will help screen US-bound containers that have been identified as a potential terrorist risk.The main topic of the news article is: Security screening of US-bound cargo at Dubai port.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Afghans Say bin Laden Trail Has Grown Cold &lt;I&gt;National Geographic&lt;/I&gt; writer Tim McGirk discusses post-election Afghanistan and the hunt for international terrorist Osama bin Laden.The main topic of the news article is the hunt for Osama bin Laden in Afghanistan.I would categorize this article as: World.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ruiz #39;s manager Stone suspended The New York State Athletic Commission wasted no time taking action against Norman Stone, the bombastic manager of World Boxing Association heavyweight The main topic of the news article is: Suspension of boxer's managerCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",World #39;s first five-megapixel camera phone KOREAN giant Samsung Electronics said it had developed the world #39;s first handphone equipped with a state of the art five-megapixel camera.The main topic of the news article is the development of a new camera phone by Samsung Electronics with a 5-megapixel camera.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Approval for New Stadium in Washington Hits a Snag Maybe the idea of financing a new stadium here for the relocated Montreal Expos seemed easy last month when the city received the news that Major League Baseball would send the team to the nation #39;s capital.The main topic of the news article is: A new stadium for the relocated Montreal Expos in Washington.I choose: Sports.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Spartans outplayed by George Washington in first round of BB amp;T &lt;b&gt;...&lt;/b&gt; Washington, DC - The No. 11 MSU basketball team lost 96-83 to George Washington Saturday afternoon in the first-round of the BB amp;T Classic.The main topic of the news article is: MSU basketball team loses to George Washington in the BB&T Classic.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","American Alvin Harrison Banned for Four Years Olympic 400 meter relay gold medallist Alvin Harrison has accepted a four-year ban for drugs violations, the United States Anti-Doping Agency said on Tuesday.The main topic of the news article is: Doping ban for Olympic athlete Alvin Harrison.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Seiko Epson unveil updated micro flying robot Seiko Epson have unveiled their latest wireless flying micro-robot named the FR-II. The successor to the FR robot the latest micromechatronic contraption has a number of improvements.The main topic of the news article is: Unveiling of Seiko Epson's updated micro flying robot, FR-II.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Former con man joins crime battle FORMER con artist Frank Abagnale, whose life was portrayed in the film Catch Me if You Can, has been recruited to help in the battle against cyber crime as spokesman for the National Cyber Security Alliance (NCSA) in a forthcoming campaign.The main topic of the news article is: A former con artist helping to fight cyber crime.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","7 DAYS MONDAY &lt;br&gt;NFL ON DEMAND &lt;br&gt;EXTENDED HIGHLIGHTS &lt;br&gt;With the addition of the NFL Network to Comcast and Starpower cable, digital subscribers can now access free highlights of every NFL game. Minus broadcast network mumbo-jumbo commentary, the highlights last eight to 20 minutes...The main topic of the news article is: NFL game highlights available on demand through Comcast and Starpower cable.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",New bid to end talks deadlock Northern Ireland Secretary Paul Murphy and Irish foreign minister Brian Cowen will chair talks involving unionists and nationalists at Stormont aimed at ending the stand-off over proposed changes to devolution.The main topic of the news article is: Politics/Northern Ireland Peace TalksCategory: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Australia red-faced BUOYANT New Zealand captain Stephen Fleming was relieved to have enlivened a dormant summer after his Black Caps conjured a stunning four-wicket win against Australia in the opening The main topic of the news article is: Cricket match between Australia and New Zealand Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Suns Defeat Jazz 115-102 (AP) AP - Steve Nash had 20 points and 14 assists to lead the Phoenix Suns to their eighth straight win, 115-102 over the Utah Jazz on Tuesday night.The main topic of the news article is: Phoenix Suns' win over Utah Jazz Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Shock Hazard Prompts Lexmark Recall The US Consumer Product Safety Commission said Tuesday that Lexmark International has voluntarily recalled more than 39,400 laser printers, under the Lexmark, Dell and IBM brands, for their potential to deliver electrical shocks.The main topic of the news article is: Lexmark recalling laser printers due to a shock hazard.I would categorize this article under: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Injury fears allayed over Celtic #39;s McNamara Injury fears over Celtic skipper Jackie McNamara have subsided after a scan revealed he has not broken his ankle. It was initially feared that McNamara had broken his ankle after a clash against Barcelona #39;s Ludovic Giuly on Tuesday night.The main topic of the news article is: Injury update on Celtic's Jackie McNamaraCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Hague Court Imposes Defense Counsel on Milosevic (Reuters) Reuters - Judges at The Hague tribunal on\Thursday imposed a defense counsel on former Yugoslav President\Slobodan Milosevic to avoid further delays in his war crimes\trial.The main topic of the news article is: The Hague tribunal's decision regarding Slobodan Milosevic's war crimes trial.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Johnson  amp; Johnson missing out on stent sales Johnson  amp; Johnson can't supply cardiac stents fast enough to capitalize on three recent recalls by archrival Boston Scientific Corp. , say cardiologists who use both companies' medical devices.The main topic of the news article is: Johnson & Johnson's inability to meet demand for cardiac stents due to competition and recalls.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","IBM seeks dismissal in second part of SCO case SAN FRANCISCO - IBM Corp. is seeking dismissal of a second major component of the lawsuit filed against it last year by Unix vendor The SCO Group Inc., according to court documents filed Friday by IBM. The documents, filed with the U.S. District Court for the District of Utah, argue that SCO's breach of contract allegations should be dismissed from the lawsuit.The main topic of the news article is: IBM's legal action against SCO's lawsuit allegations.Category: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Dynogen enters drug licensing deal Dynogen Pharmaceuticals Inc. of Waltham said it licensed a late-stage drug candidate from Mitsubishi Pharma Corp. Terms weren't disclosed. The compound, pumosetrag, is thought to be helpful to patients suffering from a variety of gastrointestinal conditions, such as irritable bowel syndrome. Dynogen, a privately held firm, said it plans to start new clinical trials with pumosetrag next year. Mitsubishi, part ...The main topic of the news article is: Dynogen's licensing deal for a new drug candidate to treat gastrointestinal conditions. Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Campbell delivers win ATLANTA - Let there be no doubt: The Auburn football team is the undisputed champion of the Southeastern Conference. And let it be written that Jason Campbell made it so.The main topic of the news article is: Auburn football team winning the Southeastern Conference championship, thanks to Jason Campbell.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Venture by Time Warner And Microsoft Unsettles EU A Bethesda company owned by Microsoft Corp. and Time Warner Inc. is the subject of a European Union investigation into whether the company #39;s software will give the two media giants a monopoly in copyright protection.The main topic of the news article is: European Union investigation into a company owned by Microsoft and Time Warner regarding potential monopoly in copyright protection.This article falls under the category of: **Business**,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Egypt Sees Move Towards Israel-Palestinian Peace  JERUSALEM (Reuters) - Egypt's official news agency said  Tuesday significant progress had been made in international  efforts to end Israeli-Palestinian violence, but both sides to  the conflict termed talk of a deal premature.The main topic of the news article is: Israeli-Palestinian peace efforts Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Suit claims Microsoft hurt Novell Days after collecting a \$536 million antitrust settlement from Microsoft Corp., Novell returned to court Friday to claim the technology giant used its market dominance to shut out WordPerfect and other software in the mid-1990s.The main topic of the news article is: A lawsuit filed by Novell against Microsoft for allegedly using its market dominance to shut out Novell's software.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",New fertility treatment 'closer' Women may be able to have unfertilised eggs routinely frozen during fertility treatment rather than just embryos after research.The main topic of the news article is: Advances in fertility treatment options for women.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Ahead Pushes Nero Digital Format for DVDs Deal with ESS Technology will add support for Ahead's variant of the MPEG-4 video format on DVD players.The main topic of the news article is: Ahead's partnership with ESS Technology to add support for Nero Digital Format on DVD players.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","NVIDIA and Sony hook-up Electronic voting in the US. The saga continues. Here is an interesting comparision with a Venezuelan referendum.  quot;80 of Americans could correctly name the first President Bush #39;s pet dog Millie, but only The main topic of the news article is: Electronic voting in the US and its comparison with a Venezuelan referendum.The category of the news article is: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","COL FB: Auburn 34, Tennessee 10 Jason Campbell passed for 252 yards and two touchdowns Saturday to lead the ninth-ranked Auburn Tigers over eighth-ranked Tennessee, 34-10.The main topic of the news article is: Auburn Tigers defeat Tennessee in a college football game.Category: Sports",1
