prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Unlikely Visionary Behind Private Race to Space SpaceShipOne visionary Peter Diamandis wasn't thinking about history as he stood in the Mojave desert and watched a small, shuttlecock-shaped craft glide back to Earth having nudged the edge of space. He just thought it looked beautiful.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Space Exploration and the achievement of SpaceShipOne.I choose: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",First Look: MusicMatch Jukebox's Impressive Version 10 Free software helps organize large music collections.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: MusicMatch Jukebox's new version Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hewitt in form ahead of US Open LONG ISLAND, New York -- Lleyton Hewitt continued his US Open preparations with a 6-1 6-4 win over Michael Llodra en route to the quarterfinals of the ATP Long Island Cup.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Tennis player Lleyton Hewitt's win in the ATP Long Island Cup.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",ING Reveals Improper Trading Case Details  NEW YORK (Reuters) - A U.S. unit of Dutch financial  services group ING Groep NV said on Wednesday a review of  improper trading in its mutual funds showed only isolated  incidents of impropriety.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Improper trading case details revealed by INGCategory: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",FTC Goes After Spyware Operations (NewsFactor) NewsFactor - The Federal Trade Committee has filed a complaint in federal court asking that two Internet advertising and software firms be shut down. The FTC made the filing last Thursday and will hold a press conference on the matter tomorrow.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: FTC taking action against spyware operations.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Discus Champion Thrown Out of Games Hungarian Olympic discus champion Robert Fazekas will lose his gold medal and be expelled from the Games after breaking doping rules, the International Olympic Committee (IOC) said Tuesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Doping scandal involving an Olympic athlete.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Microsoft rules out PeopleSoft bid This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. Microsoft CEO Steve Ballmer has ruled out acting as the white knight for business software <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Microsoft's decision not to bid on PeopleSoft.Category: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","N. Korea Economic Sanctions 'One Option' -- Japan (Reuters) Reuters - Japanese Foreign Minister Nobutaka\Machimura said on Thursday economic sanctions against North\Korea were """"one option,"""" but added that care was needed in\deciding whether Tokyo should take such a step immediately.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Economic sanctions against North Korea considered by Japan.Category: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Chechnya goes to polls; man blows himself up in Grozny Moscow, Aug. 29 (PTI): An unidentified man blew himself up today outside a polling station in Grozny during presidential elections in war-torn Caucasian province of Chechnya.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Explosion outside a polling station in Chechnya during presidential elections.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Explosion marks first day of Iraq campaigns Violence marred Iraq #39;s first official day of parliamentary election campaigning Wednesday as interim Iraqi Prime Minister Ayad Allawi announced his candidacy for the Jan. 30 <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Explosion marks the start of Iraq's parliamentary election campaigns.Category: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Microsoft delays SP2 auto update Slowdown will give big companies more time to hunt down compatibility problems, the company says.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Microsoft delaying the automatic update of Service Pack 2 (SP2) due to compatibility issues.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Kerry Asks FEC for Recount Advice (AP) AP - Election Day is several weeks away, but Democratic presidential candidate John Kerry's campaign is already considering its fund-raising options should Kerry or President Bush pursue a recount like the famous Florida ballot dispute in 2000.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Election Recount and Fundraising Options for John Kerry's Campaign.I choose: Business (as the article discusses fundraising options, although it could also fit under a broader category of Politics, which is not an option here)",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","U.S. Upholds Tariffs on Shrimp Imports (AP) AP - The Bush administration on Tuesday upheld the imposition of penalty tariffs on shrimp imports from China and Vietnam, handing a victory to beleaguered U.S. shrimp producers.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: U.S. tariffs on shrimp imports.I choose: Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Rebels Set Off Land mine in Indian Kashmir, 11 Dead  SRINAGAR, India (Reuters) - Separatist militants detonated  a powerful land mine in Indian Kashmir killing eleven people,  including nine soldiers in one of the biggest attacks in recent  weeks, police said on Sunday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A deadly land mine attack by separatist militants in Indian Kashmir.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Promoting free trade promotes security for Canada and U.S., ambassador says. (Canadian Press) Canadian Press - VANCOUVER (CP) - The promotion of free trade around the world will help fight terrorism and is in the security interests of the U.S. and Canada, the U.S. ambassador to Canada said Friday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Trade and SecurityCategory: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Peres calls for early general election The leader of the opposition Labour party in Israel, Shimon Peres, has called for an early general election. <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Israeli politics and electionCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Martha Stewart Appeals Conviction Lawyers for Martha Stewart told a federal appeals court that she suffered a """"fundamentally unfair"""" trial at the hands of prosecutors who incorrectly suggested she was accused of insider trading.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Martha Stewart's appeal of her conviction.Category: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Bulldogs Get Punished The NCAA places Mississippi State on probation for four years because of recruiting violations and bans them from postseason play this year.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: NCAA punishment of Mississippi State football team.Category: Sports.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","With One Life to Live, the Red Sox Want It Now The Red Sox will either complete an amazing comeback tonight as the first team to rebound from a 3-0 deficit in postseason history, or the Yankees will stop them.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a baseball game between the Red Sox and the Yankees, specifically a potential comeback by the Red Sox in a postseason series.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Anglers Have Big Impact on Fish Numbers -- Study (Reuters) Reuters - Recreational anglers may be\responsible for landing nearly 25 percent of over-fished salt\water species caught off U.S. coasts, a study released on\Thursday suggests.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Overfishing by Recreational Anglers.I would categorize this article under: World.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Jury lines up for Kobe Bryant rape trial More than a year after allegations of rape levelled at basketball star Kobe Bryant shocked the world of sport and set in motion a circus of claim and counterclaim, the first wave of jury selection began yesterday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the Kobe Bryant rape trial.I would categorize this article under: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","IMF Sees Robust U.S. Growth (Reuters) Reuters - Robust U.S. economic growth will\likely continue into 2005, but authorities should cut the\budget deficit to reduce the risk to growth, International\Monetary Fund Managing Director Rodrigo Rato said.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Economic Growth Forecast and Budget DeficitCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","IBM updates WebSphere Application Server software OCTOBER 06, 2004 (COMPUTERWORLD) - IBM today unveiled a new version of its WebSphere Application Server software, which is designed to protect applications from server downtime and boost enterprise efforts to build a service-oriented architecture (SOA).<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: IBM's update to its WebSphere Application Server software.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Baghdad violence kills at least 25 people and stoking fears that sectarian divisions over when to hold elections could unleash further bloodshed. In a second dawn attack in the capital on Friday, guerrillas killed at <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Violence and sectarian divisions in Baghdad.I choose: **World**.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","University entry overhaul backed Students should be able to make their university applications after their A-level results, says an official report.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: University Admissions ReformCategory: Business (Education is a subset of Business, but it could also fit into other categories. However, given the options, Business is the most suitable choice.)",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Saudi Violence Pushes Oil Prices Higher Oil prices were forced higher today by an outbreak of violence in Saudi Arabia and concerns that Opec may cut output. The cost of a barrel of light, sweet crude oil climbed <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Oil price increase due to violence in Saudi Arabia and potential OPEC output cuts.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Defiant Sharon sets out Gaza plan Israeli PM Ariel Sharon pushes ahead with an accelerated plan to withdraw from the Gaza Strip despite opposition.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Israeli Prime Minister Ariel Sharon's plan to withdraw from the Gaza Strip.Category: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Yahoo Jazzes Up Mobile Search Yahoo Jazzes Up Mobile Search\\Google SMS started serving search results to mobile users in the US just a few days back. Now Yahoo! follows it with even more comprehensive feature set. Google SMS is currently text based for the results; Yahoo! jazzes them up with maps, website icons, as well ...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Yahoo's new mobile search features.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Bekele Succeeds Mentor Gebrselassie  ATHENS (Reuters) - Ethiopian Kenenisa Bekele succeeded his  mentor Haile Gebrselassie as the Olympic 10,000 meters champion  Friday after an astonishing final lap in the longest track  event.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Olympic 10,000 meters championshipCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","SI.com ATLANTA (Ticker) -- The Atlanta Braves will have to wait at least one more day to celebrate. Gabe White worked out of a bases-loaded jam in the bottom of the ninth inning to record his first save in more than <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Baseball game update, specifically the Atlanta Braves.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Haywood Looks to End Wizards center Brendan Haywood worked hard in the offseason to improve enough to play in the fourth quarter of close games this season.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Brendan Haywood's offseason improvement to play in the fourth quarter of close games.I choose: Sports.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Germany unveils debt cut measures The German government has unveiled a series of measures aimed at bringing the country #39;s public deficit back below the eurozone #39;s 3 of GDP limit in 2005.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Germany's plan to reduce its public deficit.I choose: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",easyMusic picks Wippit for pre-Xmas launch easyJet founder turns to 'easyJet for iPod generation' service<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: easyMusic's partnership with Wippit for a music download service.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Two US soldiers killed in Afghan battle KABUL, Afghanistan - Two US soldiers were killed in a firefight with insurgents Monday, while an Afghan vice president escaped a bomb attack on his convoy in the latest assassination attempt on a political leader ahead of key elections.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: US soldiers killed in Afghan battle and assassination attempt on Afghan vice president.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Daiei shares soar as Wal-Mart confirms interest in ailing retailer TOKYO : Shares in ailing Japanese retailer Daiei Inc. jumped 16 percent after US giant Wal-Mart Stores Inc. confirmed it was interested in aiding the firm #39;s revival. <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Wal-Mart's interest in acquiring the Japanese retailer Daiei Inc.Category: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Cuba, Russia Agree to Condemn Terrorism (AP) AP - The top diplomats for Russia and Cuba condemned all forms of terrorism Tuesday and renewed Russia's call last week to expand the war against the global scourge.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: International Diplomacy and Counter-Terrorism Efforts.I choose: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","HP unveils low-cost corporate copier With streamlined multifunction device, tech giant aims to gain ground in business copier market.\<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: HP's new low-cost corporate copier.Category: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Kerry's Disgusting Ad \\A few days ago Kerry sent around this ad:\\""""Yesterday, the Bush-Cheney campaign, losing any last sense of decency, placed\a disgusting ad called """"The Faces of John Kerry's Democratic Party"""" as the\main feature on its website. Bizarrely, and without explanation, the ad places\Adolf Hitler among those faces.""""\\""""The Bush-Cheney campaign must pull this ad off of its website. The use of\Adolf Hitler by any campaign, politician or party is simply wrong.""""\\Which of course is a mistake.  I went and downloaded the video (which is just\stupid btw.  Not a masterpiece by any means.) and there are shots of Hitler in\there, but only from the MoveOn contest from a few months back.\\Here's the problem.  The ...\\<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a controversy surrounding a political ad by the Bush-Cheney campaign that features Adolf Hitler.I would categorize this article under: **Business** (as it relates to politics and elections, which can be considered a subset of business, but a more accurate categorization would be Politics, however, since that is not an option) Alternatively, a more suitable categorization would be Politics, but since that is not an option, I would choose **Business** as the closest available option. However, it's worth noting that this article would fit better under a ""Politics"" category if available.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","#39;Jackal aide #39; in case 2 acquittal BERLIN, Germany -- A German court has acquitted Johannes Weinrich, said to be the right-hand man of international guerrilla  quot;Carlos the Jackal, quot; of charges that he took part in a deadly series of bombings in France in the early 1980s.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Acquittal of Johannes Weinrich, associate of ""Carlos the Jackal"", in a case related to bombings in France.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",WTO Rules Against EU Protection of Goods (AP) AP - The European Union said Friday its system of protecting names for regionally produced foods such as Champagne and Parma ham was strengthened by an initial ruling from the World Trade Organization.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Trade dispute over protected food names.I would categorize this article under: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Fox, Traded by Lakers to Celtics, Retires (AP) AP - Rick Fox retired Thursday, ending a 13-year pro career during which he was part of three NBA championship teams with the Los Angeles Lakers.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Rick Fox's retirement from professional basketball.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Soccer Racism Taints Spain's Reputation (AP) AP - Spaniards used to say they lived in one of Europe's most racially tolerant countries. Soccer has shattered that myth. In Madrid's Santiago Bernabeu stadium  #151; the Yankee Stadium of soccer  #151; Spanish fans bellowed out monkey noises last week each time a black English player touched the ball in a match between England and Spain.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Racism in SoccerCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Renteria introduced Although he hasn #39;t spoken to any of his new Red Sox stats, schedule teammates yet, Edgar Renteria said he #39;d like to get fellow snowbird Manny Ramirez stats, news to teach him to hit #39; #39; when they speak this week in Miami.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Introduction of Edgar Renteria to the Red Sox team and his plans to meet with teammate Manny Ramirez.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Competitors voice pride in being pioneers as women #39;s wrestling &lt;b&gt;...&lt;/b&gt; This was not one for the books. It was one for the looks. How many times had Sara McMann seen the look? She would tell people she was a wrestler, and their eyebrows would <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is women's wrestling.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","New burger has 1,400 calories, 103 grams of fat ST. LOUIS - The Hardee #39;s fast food chain has rolled out its new 1,400-calorie Monster Thickburger, with 107 grams of fat. The sandwich boasts two-thirds of a pound of beef, four strips of bacon, three slices <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the introduction of a new high-calorie burger at Hardee's fast food chain.I would categorize this article under: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Report: Palestinians, Israel Back Peace Plan  CAIRO (Reuters) - Palestinians and Israelis have agreed in  principle to proposals aiming to end their conflict, Egypt's  official news agency MENA said on Tuesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Middle East Peace AgreementCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","PeopleSoft: Oracle's Offer Is Inadequate (AP) AP - Oracle Corp.'s  #36;21-per-share hostile takeover bid for PeopleSoft Inc. isn't good enough for shareholders to accept, PeopleSoft director A. George """"Skip"""" Battle said Wednesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Oracle's takeover bid for PeopleSoft.Category: Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Should Your Next Car Be New or Used? Used cars have a lot to offer -- if you know what you're doing.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: ""Buying a new vs used car""Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","A peak performance MORGANTOWN, W.Va. -- We can only imagine how enjoyable that flight home was for the Boston College party.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article appears to be a sports event, likely a game or competition, involving Boston College.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Moderate Earthquake Shakes Western Japan A moderate earthquake shook western Japan on Tuesday, two days after over 40 people were injured when two strong quakes hit the region.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Earthquake in Western JapanCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Juve Lead Is Cut AC Milan closed the gap on leaders Juventus to four points after receiving a helping hand from city-rivals Inter. Having already won their game at Chievo earlier in the day thanks to on-loan Chelsea striker <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: AC Milan closing the gap on Juventus with the help of Inter.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Rosy outlook from Greenspan fails to sway many economists WASHINGTON : The upbeat outlook from Federal Reserve Chairman Alan Greenspan has failed to convince many economists, who argue that the United States is likely to see tepid growth at best in the near future.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Economic Growth OutlookCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Santos May Report 40 Drop in First-Half Profit as Output Fell Santos Ltd., Australia #39;s biggest natural gas producer, may report first-half profit fell 40 percent after a fire on New Year #39;s Day at its gas processing plant in central Australia cut production.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Santos Ltd.'s expected drop in first-half profit due to a fire at its gas processing plant.Category: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Dent rains down the aces on a day of wet weather BEIJING: Big-hitting Taylor Dent rained down 16 aces Tuesday on the way to a first-round victory at the \$500,000 China Open before the skies dropped water to wash away play.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a tennis match.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Alitalia Signs Deal With Attendants (AP) AP - Near-bankrupt Italian flagship carrier Alitalia won approval from flight attendants Saturday for a job-cutting plan  #151; the last in a series of labor deals crucial to saving the airline from collapse.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Alitalia's labor deal with flight attendants to avoid bankruptcy.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ukraine parliament passes plan to weaken presidency (AFP) AFP - Ukraine's parliament overwhelmingly passed a bill to weaken presidential powers and change electoral law, breaking an impasse between outgoing President Leonid Kuchma and the opposition.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Ukraine's parliament passing a bill to weaken presidential powers.I choose: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Japan Expresses  #39;serious Concern #39; About N Korean Missiles In &lt;b&gt;...&lt;/b&gt; BEIJING (AFP) - Japanese negotiators told North Korea they had  quot;serious concern quot; about its missile program in talks that extended for a second day in Beijing, a Japanese diplomat said.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Japan's concern about North Korea's missile program.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Moody #39;s raises Dell #39;s senior unsecured debt rating NEW YORK, Aug 18 - Moody #39;s Investors Service said on Wednesday it raised the senior unsecured debt rating of Dell Inc. (DELL.O: Quote, Profile, Research) with a stable outlook citing the firm #39;s strong balance sheet and solid operating and financial ...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Moody's upgrade of Dell's debt rating.Category: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Napster founder introduces new file-sharing service Shawn Fanning, founder of Napster, worlds first file trading peer-to-peer network, is back in full force to legalize music swapping with his new venture.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Introduction of a new file-sharing service by Napster's founder.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Discontent in China boils into public protest When the local government announced it was going to confiscate their homes and businesses to make room for a new development, residents of this village in southeastern China fought back.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Public protest in China against government confiscation of homes and businesses.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","EU Clears Disney-Columbia British Venture European Union regulators Thursday cleared a joint venture between The Walt Disney Company, Columbia Pictures Corp. Ltd., and Britain #39;s ON Demand Group to provide a video-on-demand service in Britain and Ireland.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Disney-Columbia joint venture for video-on-demand service in Britain and Ireland.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Trail Blazers Edge Celtics 89-87 Portland Trail Blazers #39; Zach Randolph, right, loses the ball as Boston Celtics #39; Gary Payton looks on during the second quarter Thursday, Dec. 9, 2004, at the Rose Garden in Portland, Ore.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a basketball game between the Portland Trail Blazers and the Boston Celtics.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",QB Tate to Lead Injured Hawkeyes Vs. PSU (AP) AP - No. 25 Iowa is having a hard time keeping its tailbacks healthy.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Iowa's quarterback situation and injuries.I choose: Sports.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Opening an Age of Adventure? It has been more than three decades since that era of Hair-raising silliness has passed. The tie-dyes to die for (if they don #39;t kill you on first glance) have been exiled to episodes of <|start_header_id|>assistant<|end_header_id|>The main topic of the news article appears to be nostalgia for a bygone era, likely related to fashion or pop culture.I would categorize this article as: World (specifically, culture or lifestyle)",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",NASA Capsule Containing Solar Wind Particles Crashes (Update1) A space capsule containing NASA #39;s first sample from space in more than 30 years crashed into the Utah desert today after its parachutes failed to open.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A NASA space capsule crash in the Utah desert.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","US firms announce 104,530 job cuts in November, survey shows (AFP) AFP - US employers announced plans in November to step up job cuts, with the total exceeding 100,000 for the third month in a row, an industry survey showed.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Job cuts in the US.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Update 6: Dutch Steelmaker Buying ISG in \$4.5B Deal Steel tycoon Lakshmi Mittal announced plans Monday to take over US steelmaker International Steel Group as part of a three-way merger to create a global metals mammoth.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A merger and acquisition deal in the steel industry.I choose: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Former US Marine in Iraq tells Canadian board some comrades became &lt;b&gt;...&lt;/b&gt; A former US Marine in Iraq, testifying Wednesday at a hearing for an American military deserter seeking asylum in Canada, said several men <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A former US Marine testifying on behalf of an American military deserter seeking asylum in Canada.I choose: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","As Ivorian crisis deepens, so do concerns for region NIAMEY, Niger -- French troop reinforcements flew to the coastal city of Abidjan in riot-torn Ivory Coast yesterday amid rising concerns that the conflict between government and rebel forces was on the verge of spiraling out of control and could dramatically hurt its West African neighbors.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the escalating crisis in Ivory Coast and its potential impact on the region.I would categorize this article as: **World**.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","US officers to check US-bound cargo shipped from Dubai port DUBAI (AFP) - Dubai port, a leading world operator, signed a deal with the United States under which US officers will help screen US-bound containers that have been identified as a potential terrorist risk.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Security screening of US-bound cargo at a Dubai port.I would categorize this article under: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Afghans Say bin Laden Trail Has Grown Cold &lt;I&gt;National Geographic&lt;/I&gt; writer Tim McGirk discusses post-election Afghanistan and the hunt for international terrorist Osama bin Laden.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the hunt for Osama bin Laden in post-election Afghanistan.I would categorize this article as: World.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ruiz #39;s manager Stone suspended The New York State Athletic Commission wasted no time taking action against Norman Stone, the bombastic manager of World Boxing Association heavyweight <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Boxing manager suspensionCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",World #39;s first five-megapixel camera phone KOREAN giant Samsung Electronics said it had developed the world #39;s first handphone equipped with a state of the art five-megapixel camera.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Development of a high-resolution camera phone by Samsung Electronics.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Approval for New Stadium in Washington Hits a Snag Maybe the idea of financing a new stadium here for the relocated Montreal Expos seemed easy last month when the city received the news that Major League Baseball would send the team to the nation #39;s capital.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A new stadium for the relocated Montreal Expos in Washington.I choose: Sports.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Spartans outplayed by George Washington in first round of BB amp;T &lt;b&gt;...&lt;/b&gt; Washington, DC - The No. 11 MSU basketball team lost 96-83 to George Washington Saturday afternoon in the first-round of the BB amp;T Classic.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a college basketball game between MSU and George Washington.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","American Alvin Harrison Banned for Four Years Olympic 400 meter relay gold medallist Alvin Harrison has accepted a four-year ban for drugs violations, the United States Anti-Doping Agency said on Tuesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Alvin Harrison's ban for doping in athletics.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Seiko Epson unveil updated micro flying robot Seiko Epson have unveiled their latest wireless flying micro-robot named the FR-II. The successor to the FR robot the latest micromechatronic contraption has a number of improvements.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Seiko Epson's new wireless flying micro-robot, the FR-II.I would categorize this article under: Tech.",1
